field_1,lng,lat,owner,title,tags,taken
1326,18.107967,42.641514,64079936@N08,Dubrovnik,"dubrovnik;adriatic;adriaticsea;vacation;summer;m1r0slavvcroatia;sunset;sea;beautifull;love;adriaticcoast;bluesea;cleansea;nature;best;top10cities;top10beaches;beautifullnature;cleannature;greatnature;wallpaper;bestsummerdestinations;sailing;gameofthrones",Mon Jan 02 12:13:49 CET 2017
1327,18.107967,42.641514,64079936@N08,Dubrovnik,"dubrovnik;adriatic;adriaticsea;vacation;summer;m1r0slavvcroatia;sunset;sea;beautifull;love;adriaticcoast;bluesea;cleansea;nature;best;top10cities;top10beaches;beautifullnature;cleannature;greatnature;wallpaper;bestsummerdestinations;sailing;gameofthrones",Mon Jan 02 12:13:43 CET 2017
1328,18.107967,42.641514,64079936@N08,Dubrovnik,"dubrovnik;adriatic;adriaticsea;vacation;summer;m1r0slavvcroatia;sunset;sea;beautifull;love;adriaticcoast;bluesea;cleansea;nature;best;top10cities;top10beaches;beautifullnature;cleannature;greatnature;wallpaper;bestsummerdestinations;sailing;gameofthrones",Mon Jan 02 12:13:38 CET 2017
1329,18.107967,42.641514,64079936@N08,Dubrovnik,"dubrovnik;adriatic;adriaticsea;vacation;summer;m1r0slavvcroatia;sunset;sea;beautifull;love;adriaticcoast;bluesea;cleansea;nature;best;top10cities;top10beaches;beautifullnature;cleannature;greatnature;wallpaper;bestsummerdestinations;sailing;gameofthrones",Mon Jan 02 12:13:33 CET 2017
1330,18.107967,42.641514,64079936@N08,Dubrovnik,"dubrovnik;adriatic;adriaticsea;vacation;summer;m1r0slavvcroatia;sunset;sea;beautifull;love;adriaticcoast;bluesea;cleansea;nature;best;top10cities;top10beaches;beautifullnature;cleannature;greatnature;wallpaper;bestsummerdestinations;sailing;gameofthrones",Mon Jan 02 12:13:26 CET 2017
1331,18.107967,42.641514,64079936@N08,Dubrovnik,"dubrovnik;adriatic;adriaticsea;vacation;summer;m1r0slavvcroatia;sunset;sea;beautifull;love;adriaticcoast;bluesea;cleansea;nature;best;top10cities;top10beaches;beautifullnature;cleannature;greatnature;wallpaper;bestsummerdestinations;sailing;gameofthrones",Mon Jan 02 12:13:18 CET 2017
1163,18.117434,42.647236,27911027@N00,2.2.17 Dubrovnik 4 Expedition to Bosanka and Fort Imperial 063,"dubrovnik;croatia;bosanka;fort;imperial;sunset",Mon Jan 02 14:55:18 CET 2017
1164,18.117434,42.647236,27911027@N00,2.2.17 Dubrovnik 4 Expedition to Bosanka and Fort Imperial 061,"dubrovnik;croatia;bosanka;fort;imperial;sunset",Mon Jan 02 14:54:36 CET 2017
1165,18.117434,42.647236,27911027@N00,2.2.17 Dubrovnik 4 Expedition to Bosanka and Fort Imperial 059,"dubrovnik;croatia;bosanka;fort;imperial;sunset",Mon Jan 02 14:53:42 CET 2017
1263,18.111338,42.641293,64079936@N08,Leonardo DiCaprio’s Robin Hood set in Dubrovnik,"dubrovnik;adriatic;adriaticsea;vacation;summer;m1r0slavvcroatia;sunset;sea;beautifull;love;adriaticcoast;bluesea;cleansea;nature;best;top10cities;top10beaches;beautifullnature;cleannature;greatnature;wallpaper;bestsummerdestinations;sailing;gameofthrones",Mon Jan 02 12:52:50 CET 2017
