field_1,lng,lat,owner,title,tags,taken
9758,18.106218,42.64091,142623694@N02,DSC_6839-2,"nikon;d5500;croatia;dubrovnik",Thu Jul 14 15:03:56 CEST 2016
9759,18.106733,42.64164,142623694@N02,DSC_6716,"nikon;d5500;croatia;dubrovnik",Thu Jul 14 14:15:33 CEST 2016
9760,18.111776,42.6496,142623694@N02,DSC_6583,"nikon;d5500;croatia;dubrovnik",Wed Jul 13 22:45:35 CEST 2016
9761,18.111776,42.6496,142623694@N02,DSC_7423-全景-2,"nikon;d5500;croatia;dubrovnik",Fri Jul 15 11:06:54 CEST 2016
9762,17.39936,42.91554,35643595@N00,Rostiger Poller,,Sun Jul 17 09:48:01 CEST 2016
9763,18.10665,42.64051,141930130@N02,L1040103,,Mon Jul 18 13:37:05 CEST 2016
9819,18.111176,42.6409,14108812@N04,Poklisar Restaurant,"panasonic;lumix;g3;outdoors",Fri Jul 08 13:41:42 CEST 2016
9820,18.102108,42.641357,14108812@N04,"Hotel Imperial, taken from Gradac Park","panasonic;lumix;g3;outdoors",Fri Jul 08 11:52:41 CEST 2016
9821,18.102108,42.641357,14108812@N04,"Lovrijenac, taken from Gradac Park","panasonic;lumix;g3;outdoors",Fri Jul 08 11:51:25 CEST 2016
9779,15.95806,43.809082,142767672@N04,Swallow on the water,"npkrka;swallow;river",Fri Jul 08 09:43:59 CEST 2016
9780,15.885672,43.741283,89370641@N07,Old town of Sibenik,"canon;eos6d;eos;6d;ef24105f4l;ef;24105;f4;l;kroatien;croatia;hvratska;sibenik;altstadt;old;town;mittelalter;mittelalterlich;medieval;middle;ages;hang;hill;stadt;city;meer;adria;sea;ocean;architektur;architecture;häuser;gebäude;buildings;houses;dämmeru",Fri Jul 22 18:57:57 CEST 2016
9781,18.130102,42.63958,99114600@N08,The old town of Dubrovnik in the twilight,"oldtown;dusk;twilight;horizon;sunset;town;ville;vieille;dubrownik;dalmatia;dalmatie;croatia;croatie;nuit;light;sizuneye;nikon;d750;tamron2470mmf28;tamron;2470mm",Thu Jul 21 20:45:51 CEST 2016
9782,16.574078,43.49216,61202170@N03,"Sv Juraj na Vršini, Croatia","croatia;church;sv;juraj;na;vršini;sunset;landscape;europe;sky;warm;mountain;sony;a7s;canon;24104;24105;foreground;sea;view",Mon Jul 11 18:58:21 CEST 2016
9783,16.189367,43.062,134233595@N04,Mare,,Tue Jul 19 16:17:33 CEST 2016
9784,18.130102,42.63958,99114600@N08,"Remain still or moving, this is an eternal dilemma","coast;coastline;road;dubrovnik;dalmatia;croatia;boats;lights;trails;le;longexposure;poselongue;nuit;night;dusk;bleuhour;lheureblue;village;europedusud;southerneurope;europe;sizuneye;nikond750;tamron2470mmf28",Thu Jul 21 21:02:58 CEST 2016
9789,16.434269,43.191315,35643595@N00,Fischauswahl,,Tue Jul 12 19:05:50 CEST 2016
9790,15.919786,43.584778,35643595@N00,Sunset in Primosten,"sonnenuntergang;tramonto",Sun Jul 10 20:32:10 CEST 2016
9791,15.96345,43.805534,141930130@N02,L1020193,,Tue Jul 12 14:40:33 CEST 2016
9799,15.181732,44.243355,138782531@N07,Nin,,Mon Jul 18 22:28:18 CEST 2016
9800,15.181989,44.244244,138782531@N07,Nin,,Sun Jul 17 20:17:06 CEST 2016
9801,18.108215,42.641914,47765927@N06,Dubrovnik Old Town_Dubrovnik_Croatia_Jul16,"dubrovnikoldtown;dubrovnikcroatia;narrowstreet;dubrovnik;visitcroatia;geotagged;flickr:user=ianhalsey;flickriver;copyright:owner=ianhalsey;location:croatia=dubrovnik;imagesgooglecom;exif:model=canoneosm;olddubrovnik;cityofdubrovnik;unescoworldheritagesit",Fri Jul 08 08:57:41 CEST 2016
9802,18.108644,42.64097,78364017@N06,Life is sooo hard,"dubrovnik;dubrovačkoneretvanskažupanij;croacia;dubrovačkoneretvanskažupanija;hr;gato;moix;gat;cat;sleep;dormir;mateutomas",Mon Jul 04 17:27:16 CEST 2016
9670,18.134962,42.611435,47765927@N06,Sunset_Dubrovnik_Croatia_Jul16,"sunset;sunsetdubrovnik;dubrovnikcroatia;visitcroatia;settingsun;geotagged;flickr:user=ianhalsey;flickriver;imagesgooglecom;copyright:owner=ianhalsey;location:croatia=dubrovnik;exif:model=panasoniclumixdmctz30",Thu Jul 07 18:21:31 CEST 2016
9673,16.689514,43.181416,144568158@N02,Inmesidad,"aire;libre;paisaje;costa;naturaleza",Thu Jul 21 14:53:24 CEST 2016
9674,16.364452,43.159927,38077650@N06,The UE Boat,"theyachtweek;yacht;croatia;theueboat;makemusicsocial;ultimateearstheyachtweek;travel;mediterranean;summer;music;tyw;photography;edamak;moirafilms",Tue Jul 12 04:57:13 CEST 2016
9806,18.106928,42.639713,87871420@N02,The Wall,"dubrovnik;wall;wash;hangingclothes",Sat Jul 23 09:33:51 CEST 2016
9807,15.194091,42.972504,63234672@N04,Rear deck of the Costa Deliziosa,"cruise;free;nikon;publicdomain;costa;mediterranean;eastern;d750;2016;deliziosa;deck;swimming;pool;sunny;blue;sky;lounge;chairs",Mon Jul 04 03:44:51 CEST 2016
9808,18.180141,42.6044,83861792@N00,Heading home,"cavtat;croatia",Mon Jul 11 18:45:36 CEST 2016
9809,16.440386,43.508114,25937668@N08,Bell Tower,"p7200009edwm;olympus;em5mk2;microfourthirds;©peterhall;split;dalmatia;croatia;europe;saintdujam;church;cathedral;tower;belltower;bluesky;summer;hot;holiday;symmetry;architecture;building;arch;column",Wed Jul 20 07:54:58 CEST 2016
9810,18.11029,42.640293,14108812@N04,Restaurant in Gundulic Square,"sony;xperia;z3",Fri Jul 08 22:04:25 CEST 2016
9811,18.111517,42.64172,14108812@N04,Dubrovnik Harbour,"panasonic;lumix;g3;outdoors",Fri Jul 08 16:56:54 CEST 2016
9812,18.10921,42.639828,14108812@N04,Spanish Steps,"panasonic;lumix;g3;outdoors",Fri Jul 08 16:44:02 CEST 2016
9813,18.120007,42.621628,14108812@N04,Cave on Lokrum Island,"panasonic;lumix;g3;outdoors",Fri Jul 08 15:36:17 CEST 2016
9814,18.111725,42.633816,14108812@N04,From a tourist boat,"panasonic;lumix;g3;outdoors",Fri Jul 08 15:29:11 CEST 2016
9815,18.109879,42.63394,14108812@N04,Lokrum Island,"panasonic;lumix;g3;outdoors",Fri Jul 08 15:18:12 CEST 2016
9816,18.104643,42.639847,14108812@N04,From a tourist boat,"panasonic;lumix;g3;outdoors",Fri Jul 08 15:17:27 CEST 2016
9817,18.112368,42.639183,14108812@N04,From a tourist boat,"panasonic;lumix;g3;outdoors",Fri Jul 08 15:16:45 CEST 2016
9818,18.112394,42.64066,14108812@N04,Dubrovnik Harbour,"panasonic;lumix;g3;outdoors",Fri Jul 08 15:06:57 CEST 2016
9694,16.443357,43.172256,91063332@N05,St Stephan Cathedral.jpg,"church;cathedral;stefan;hvar;flickr;croatia",Thu Jul 21 14:21:10 CEST 2016
9695,16.441233,43.17153,91063332@N05,no boarding my foot.jpg,"hvar;streetphotography;samar;superyacht;bw;blackandwhite;croatia;street",Thu Jul 21 15:20:00 CEST 2016
9696,15.963993,43.80505,115511659@N08,Wide and strong,"croatia;waterfall;landscape;water;panorama;nature;forrest;outside;outdoor",Thu Jul 14 12:57:34 CEST 2016
9657,18.120935,42.644623,49491198@N00,Dubrovnik city lights,"adriatic;city;croatia;dubrovnik;lights;longexposure;night;sea;dubrovačkoneretvanskažupanij;dubrovačkoneretvanskažupanija;hr",Sat Jul 02 22:03:58 CEST 2016
9658,18.120935,42.644623,49491198@N00,Dubrovnik city lights,"adriatic;city;croatia;dubrovnik;lights;longexposure;night;sea;dubrovačkoneretvanskažupanij;dubrovačkoneretvanskažupanija;hr",Sat Jul 02 22:06:40 CEST 2016
9659,18.120935,42.644623,49491198@N00,Dubrovnik city lights,"adriatic;city;croatia;dubrovnik;lights;longexposure;night;sea;dubrovačkoneretvanskažupanij;dubrovačkoneretvanskažupanija;hr",Sat Jul 02 22:03:19 CEST 2016
